full_name,bazi_score,wuge_score,total_score
王悦纶,61.5,85.6,147.1
王悦喜,79,83.7,162.7
王悦洁,77,91.1,168.1
王悦渠,79,81.2,160.2
王悦添,79,83.7,162.7
王悦涑,78,70.6,148.6
王悦笑,95,86.7,181.7
王悦夭,96.5,83.6,180.1
王悦幺,64,89.2,153.2
王悦金,93,80.8,173.8
王悦释,95,91.3,186.3
王悦火,61.5,83.6,145.1
王悦奇,61,80.8,141.8
王悦棹,64,83.7,147.7
王悦瞳,62,87.2,149.2
王悦而,94,86.9,180.9
王悦凌,63,86.7,149.7
王悦薷,63,91.3,154.3
王悦华,76.5,85.6,162.1
王悦烨,61.5,85.6,147.1
王悦雁,64,83.7,147.7
王悦擎,62,87.2,149.2
王悦燕,97,91.1,188.1
王悦谌,94,91.1,185.1
王悦纬,96.5,77.3,173.8
王悦鹂,63,93.0,156.0
王悦颉,61.5,77.3,138.8
王悦鸿,77,87.2,164.2
王悦彩,95,70.6,165.6
王悦常,95,70.6,165.6
王悦体,64,86.6,150.6
王悦经,64,81.2,145.2
王悦少,93.5,83.6,177.1
王悦遗,61,81.2,142.2
王悦娟,63,86.7,149.7
王悦弟,62,84.0,146.0
王悦劲,61,86.7,147.7
王悦荧,61.5,85.6,147.1
王悦昔,93,80.8,173.8
王悦霜,77,87.2,164.2
王悦樟,61.5,77.3,138.8
王悦薪,61,81.2,142.2
王悦念,61,80.8,141.8
王悦琬,99,81.2,180.2
王悦河,76,86.7,162.7
王悦欧,96.5,77.3,173.8
王悦放,76,80.8,156.8
王悦术,63,70.6,133.6
王悦呈,62,84.0,146.0
王悦憨,77,91.1,168.1
王悦麗,23,93.0,116.0
王悦耕,63,86.7,149.7
王悦璧,96,79.8,175.8
王悦墉,96.5,85.6,182.1
王悦靄,23,93.0,116.0
王悦羽,97,86.9,183.9
王悦红,76,86.7,162.7
王悦仉,61.5,83.6,145.1
王悦闽,76.5,85.6,162.1
王悦哈,76,86.7,162.7
王悦帝,61,86.7,147.7
王悦濡,76,79.8,155.8
王悦客,61,86.7,147.7
王悦军,61,86.7,147.7
王悦生,93.5,83.4,176.9
王悦铮,94,91.1,185.1
王悦世,93.5,83.4,176.9
王悦环,93,79.8,172.8
王悦曉,23,93.0,116.0
王悦理,64,83.7,147.7
王悦钶,96,81.2,177.2
王悦肖,61,86.7,147.7
王悦丕,76.5,83.4,159.9
王悦烙,63,86.7,149.7
王悦曰,96.5,83.6,180.1
王悦冬,61.5,83.4,144.9
王悦宋,94,84.0,178.0
王悦珉,76.5,85.6,162.1
王悦熠,61.5,77.3,138.8
王悦泽,77,87.2,164.2
王悦姯,23,93.0,116.0
王悦錦,23,93.0,116.0
王悦近,63,70.6,133.6
王悦箫,61,79.8,140.8
王悦相,61,86.7,147.7
王悦宽,61.5,77.3,138.8
